;mapped_veh_id;timestamps_UTC;lat;lon;RS_E_InAirTemp_PC1;RS_E_InAirTemp_PC2;RS_E_OilPress_PC1;RS_E_OilPress_PC2;RS_E_RPM_PC1;RS_E_RPM_PC2;RS_E_WatTemp_PC1;RS_E_WatTemp_PC2;RS_T_OilTemp_PC1;RS_T_OilTemp_PC2
16;134;2023-08-24 09:21:31;51.2255932;4.4394752;28.0;28.0;296.0;234.0;822.0;799.0;78.0;80.0;77.0;74.0
17;140;2023-08-01 03:16:58;50.3425761;4.2887117;34.0;35.0;203.0;196.0;795.0;795.0;85.0;83.0;89.0;89.0
18;161;2023-08-24 09:33:03;51.2217459;5.437209;41.0;41.0;282.0;213.0;805.0;803.0;88.0;87.0;91.0;90.0
19;142;2023-08-24 09:40:35;51.0336621;5.3305808;40.0;44.0;348.0;345.0;1796.0;1774.0;81.0;82.0;87.0;85.0
20;181;2023-08-01 03:48:13;50.7698198;3.8720825;27.0;24.0;251.0;234.0;800.0;803.0;83.0;81.0;76.0;76.0
21;181;2023-08-24 10:06:30;51.190558;5.114048;40.0;42.0;213.0;203.0;803.0;802.0;85.0;85.0;84.0;85.0
22;166;2023-08-24 10:21:51;51.0398386;3.6949629;25.0;33.0;258.0;186.0;800.0;800.0;77.0;79.0;79.0;79.0
23;176;2023-08-01 04:08:36;51.1805413;3.5755003;25.0;19.0;200.0;217.0;802.0;799.0;79.0;81.0;81.0;79.0
24;178;2023-08-01 04:22:51;51.0529889;3.7415434;37.0;35.0;307.0;372.0;1498.0;1497.0;86.0;86.0;93.0;85.0
25;145;2023-08-01 05:14:33;51.2046853;4.4277931;26.0;28.0;210.0;234.0;795.0;796.0;81.0;81.0;82.0;83.0
26;136;2023-08-24 11:38:20;50.93586452;5.30750396;34.0;36.0;223.2;278.4;800.0;798.6;81.0;81.0;78.2;76.8
27;180;2023-08-24 11:45:54;51.0397051;3.6946972;32.0;39.0;289.0;282.0;805.0;797.0;77.0;78.0;74.0;76.0
28;121;2023-08-24 11:49:17;50.3467955;4.2587278;40.0;37.0;196.0;227.0;801.0;913.0;90.0;88.0;89.0;89.0
